MERS_sequence_ID,Actual_lineages,CovRecomb_assigned
KT368845.1,lineage3,lineage3_lineage3
KT368849.1,lineage3,lineage3_lineage3
KT368850.1,lineage3,lineage3_lineage3
KT368851.1,lineage3,lineage3_lineage3
KT368852.1,lineage3,lineage3_lineage3
KT368853.1,lineage3,lineage3_lineage3
KT368854.1,lineage3,lineage3_lineage3
KT368855.1,lineage3,lineage3_lineage3
KT368856.1,lineage3,lineage3_lineage3
KT368857.1,lineage3,lineage3_lineage3
KT368866.1,lineage3,lineage3_lineage3
KT368867.1,lineage3,lineage3_lineage3
KJ650098.1,lineage4,lineage4_lineage4
KR011263.1,lineage4,lineage4_lineage4
KR011265.1,lineage4,lineage4_lineage4
KR011266.1,lineage4,lineage4_lineage4
KT368829.1,lineage4,lineage4_lineage4
KT368831.1,lineage4,lineage4_lineage4
KT368875.1,lineage4,lineage4_lineage4
KT368830.1,lineage4,lineage4_lineage4
KT368832.1,lineage4,lineage4_lineage4
KJ829365.1,lineage4,lineage4_lineage4
KM027255.1,lineage4,lineage4_lineage4
KM027256.1,lineage4,lineage4_lineage4
KM027257.1,lineage4,lineage4_lineage4
KM027258.1,lineage4,lineage4_lineage4
KM027259.1,lineage4,lineage4_lineage4
KM027260.1,lineage4,lineage4_lineage4
KM027261.1,lineage4,lineage4_lineage4
KJ713295.1,lineage4,lineage4_lineage4
KJ713296.1,lineage4,lineage4_lineage4
KT368887.1,None,lineage3_lineage3
KT368888.1,None,lineage3_lineage3
KT368824,None,lineage1_lineage3
KJ477102.1,reference,lineage1_lineage1
